label,type,Tags,Description,Twitter Followers,FB Followers,FB Likes,Number of Employees,Funding (2015),Funding (2016),Funding (2017),Three-Year-Funding,Social Reach,Est. People Impacted,Scale,URL,Image,Interdependence,Polarization,Holistic Knowledge,Cultural Isolation,Mindset,Behavior,
#cut50 (part of Dream Corps),Politics,Criminal Justice Reform | Mass Incarceration,cut crime and incarceration in all 50 states,11400,21206,21517,10,1029729,683918,6010348,7723995,54123,500000,Regional,https://www.cut50.org/our_mission,https://cvlassets.s3.amazonaws.com/download-1.png,Indirect Goal,,TRUE,,FALSE,TRUE,
Bridge Alliance,Civics,Democracy | Civic Renewal | Political Change | Governance,"revitalize democratic practice in America and transform the political process, from elections to governance, so the American people are heard loud and clear",1064,2749,2826,50,,,304134,304134,6639,500000,Regional,https://www.bridgealliance.us/our_work,https://cvlassets.s3.amazonaws.com/download.png,Direct Goal,TRUE,TRUE,,TRUE,TRUE,
Constellation Foundation,Media,Commons,"inspiring positive action in students, decision-makers and the general public with the profound perspective shift experienced in space",,,,,115590,151301,33612,300503,0,50000,Global,http://www.constellation.earth/,http://static1.squarespace.com/static/57d61cba9de4bbc2c5503108/t/5a316a939140b743f5aa3c9f/1527008365328/?format=1500w,Direct Goal,,,TRUE,TRUE,TRUE,
Cortico,Research,Anti-Isolation | American Public | Public Dialogue,"strengthen an American public sphere weakened by political, cultural and socioeconomic isolation",1194,92,101,50,,235016,,235016,1387,50000,Regional,https://www.cortico.ai/,https://static1.squarespace.com/static/58dbd69f1b10e3f76d545cac/t/5a032725ec212d8783095eb9/1524241503048/?format=1500w,Direct Goal,TRUE,TRUE,,FALSE,FALSE,
CultureBank,Art & Culture,Art | Funding | Measurement | Community-Development,"provide artists with capital from new and unexpected sources, fundamentally change the definition of ROI, and enable more artists to create lasting social and economic change in more communities",155,19,19,10,,,,0,193,5000,Regional,http://culturebank.org/about/,http://culturebank.org/wp-content/uploads/2017/12/cropped-logo_culturebank_man_white_100_190.png,Direct Goal,FALSE,TRUE,,FALSE,TRUE,
Defy Ventures,Business,Business Leaders | Ex-Offender | Entrepreneurship,transform the lives of business leaders and people with criminal histories through their collaboration along the entrepreneurial journey,8576,13534,13779,50,2056686,2771561,5315932,10144179,35889,5000,Regional,https://defyventures.org/what-we-do/our-mission/,https://upload.wikimedia.org/wikipedia/en/c/c0/Defy-Logo.png,Indirect Goal,,TRUE,,TRUE,TRUE,
Facing History,Education,Youth | Education | Anti-Racism,"engage students of diverse backgrounds in an examination of racism, prejudice, and anti-Semitism in order to promote the development of a more humane and informed citizenry",30200,63916,62539,200,21272112,21141465,19779835,62193412,156655,50000,Global,127.0.0.1:4100/divhacktivism/facingHistory,https://www.facinghistory.org/profiles/facing_history_distro/themes/custom/facingfuture/img/logo.png,Direct Goal,TRUE,TRUE,,TRUE,TRUE,
Impact Experience,Community,Strategic Alliances | Community-Building,"fuel transformation in marginalized communities by building strategic relationships between investors, foundations, companies and the entrepreneurs and local leaders they seek to support",149,131,139,10,,,,0,419,50000,Global,https://www.impact-experience.com/,https://cvlassets.s3.amazonaws.com/download.jpg,Direct Goal,TRUE,TRUE,TRUE,TRUE,TRUE,
Institute of Noetic Sciences,Research,Interdependence,create a shift in consciousness worldwide—where people recognize that we are all part of an interconnected whole and are inspired to take action to help humanity and the planet thrive.,11132,73917,72967,50,5093839,4793336,4205978,14093153,158016,500000,Global,http://noetic.org/about/overview,http://plannedgiving.noetic.org/images/I/institute-of-noetic-sciences/r1/IONSPrimaryVert_blue.png,Direct Goal,,,TRUE,TRUE,TRUE,
Kosmos,Media,Participation | Public Engagement | Interdepdence | Intercultural Dialogue | Civic Tech,"inform, inspire and engage individual and collective participation for global transformation in harmony with all Life",2027,16025,15864,200,,,,0,33916,500000,Global,https://www.kosmosjournal.org/about/mission/,https://www.sullivanperkins.com/wp-content/uploads/2016/02/client-experience-kosmos-energy-1.jpg,Direct Goal,,,TRUE,TRUE,TRUE,
New Economy Coalition,Business,Grassroots Change | Systems Thinking | Sharing Economy,creating deep change in our economy and politics—placing power in the hands of people and uprooting legacies of harm—so that a fundamentally new system can take root,19569,16.506,16.504,50,895105,575142,1315695,2785942,19602.01,500000,Regional,https://neweconomy.net/about,https://neweconomy.net/sites/all/themes/neweconomy/logo.png,Direct Goal,,TRUE,,TRUE,TRUE,
Presencing Institute / MIT U.Lab,Research,Emergence,systematically address how to respond to the current waves of disruptive change from a deep place that connects us to the emerging future rather than by reacting against the patterns of the past,4907,4393,4480,10,1550587,1470214,2427084,5447885,13780,500000,Global,https://www.presencing.org/#/aboutus/presencing-institute/what-we-do,http://doingsomethinggood.com.au/wp-content/uploads/2018/04/PI-logo-e1524754568388.jpg,Direct Goal,,TRUE,TRUE,TRUE,TRUE,
Safecity,Technology,Public Space | Women | Crowdsourcing | Data | Technology | Civic Tech,"make cities safer by encouraging equal access to public spaces for everyone especially women, through the use of crowdsourced data and technology",178000,44060,43862,10,,,,0,265922,500000,Global,http://safecity.in/about/,https://www.ffwd.org/wp-content/uploads/safecitylogo_final.jpg,Indirect Goal,TRUE,FALSE,,FALSE,TRUE,
Santa Fe Institute,Research,Patterns | Natural World,"understand and unify the underlying, shared patterns in complex physical, biological, social, cultural, technological, and even possible astrobiological worlds",26204,16839,17081,200,13316191,22159380,12214613,47690184,60124,1000000,Global,127.0.0.1:4100/divhacktivism/santaFe,https://upload.wikimedia.org/wikipedia/en/thumb/5/51/Santa_Fe_Institute_seal.svg/1200px-Santa_Fe_Institute_seal.svg.png,Direct Goal,,,TRUE,TRUE,TRUE,
Shareable,Media,Sharing Economy | Interdependence,"empower people to share for a more resilient, equitable, and joyful world",29451,48129,46882,10,,,130600,130600,124462,1000000,Global,https://www.shareable.net/about/mission-values,https://d1p42fqrbwqdsw.cloudfront.net/campaigns/background_images/000/000/801/web/Shareable_Thunderclap-1.png?1354842104,Direct Goal,TRUE,TRUE,TRUE,TRUE,TRUE,
The Blessing Basket Project,International Relief,Anti-Poverty | Developing World | Artisan Products,reduce poverty in developing countries by using our unique Prosperity Wages® model to pay for artisan products,468,4996,5001,50,1172115,1386653,1386653,3945421,10465,500000,Global,https://interculturalinnovation.org/blessing-basket-project/,https://blogunteer.files.wordpress.com/2012/08/bbp_logo.jpg,Direct Goal,TRUE,TRUE,,FALSE,TRUE,
