Name,Type,Tags,Description,Social Reach,Est. People Impacted,Scale,URL,Image,Interdependence,Polarization,Holistic Knowledge,Cultural Isolation,
#cut50 (part of Dream Corps),Politics,Criminal Justice Reform | Mass Incarceration,cut crime and incarceration in all 50 states,54123,500000,Regional,https://www.cut50.org/our_mission,https://cvlassets.s3.amazonaws.com/download-1.png,Indirect Goal,,TRUE,,
Bridge Alliance,Civics,Democracy | Civic Renewal | Political Change | Governance,"revitalize democratic practice in America and transform the political process, from elections to governance, so the American people are heard loud and clear",6639,500000,Regional,https://www.bridgealliance.us/our_work,https://cvlassets.s3.amazonaws.com/download.png,Direct Goal,TRUE,TRUE,,
Constellation Foundation,Media,Commons,"inspiring positive action in students, decision-makers and the general public with the profound perspective shift experienced in space",0,50000,Global,http://www.constellation.earth/,http://static1.squarespace.com/static/57d61cba9de4bbc2c5503108/t/5a316a939140b743f5aa3c9f/1527008365328/?format=1500w,Direct Goal,,,TRUE,
Cortico,Research,Anti-Isolation | American Public | Public Dialogue,"strengthen an American public sphere weakened by political, cultural and socioeconomic isolation",1387,50000,Regional,https://www.cortico.ai/,https://static1.squarespace.com/static/58dbd69f1b10e3f76d545cac/t/5a032725ec212d8783095eb9/1524241503048/?format=1500w,Direct Goal,TRUE,TRUE,,
CultureBank,Art & Culture,Art | Funding | Measurement | Community-Development,"provide artists with capital from new and unexpected sources, fundamentally change the definition of ROI, and enable more artists to create lasting social and economic change in more communities",193,5000,Regional,http://culturebank.org/about/,http://culturebank.org/wp-content/uploads/2017/12/cropped-logo_culturebank_man_white_100_190.png,Direct Goal,FALSE,TRUE,,
Defy Ventures,Business,Business Leaders | Ex-Offender | Entrepreneurship,transform the lives of business leaders and people with criminal histories through their collaboration along the entrepreneurial journey,35889,5000,Regional,https://defyventures.org/what-we-do/our-mission/,https://upload.wikimedia.org/wikipedia/en/c/c0/Defy-Logo.png,Indirect Goal,,TRUE,,
Facing History,Education,Youth | Education | Anti-Racism,"engage students of diverse backgrounds in an examination of racism, prejudice, and anti-Semitism in order to promote the development of a more humane and informed citizenry",156655,50000,Global,https://www.facinghistory.org/,https://www.facinghistory.org/profiles/facing_history_distro/themes/custom/facingfuture/img/logo.png,Direct Goal,TRUE,TRUE,,
Impact Experience,Community,Strategic Alliances | Community-Building,"fuel transformation in marginalized communities by building strategic relationships between investors, foundations, companies and the entrepreneurs and local leaders they seek to support",419,50000,Global,https://www.impact-experience.com/,https://cvlassets.s3.amazonaws.com/download.jpg,Direct Goal,TRUE,TRUE,TRUE,
Institute of Noetic Sciences,Research,Interdependence,create a shift in consciousness worldwide—where people recognize that we are all part of an interconnected whole and are inspired to take action to help humanity and the planet thrive.,158016,500000,Global,http://noetic.org/about/overview,http://plannedgiving.noetic.org/images/I/institute-of-noetic-sciences/r1/IONSPrimaryVert_blue.png,Direct Goal,,,TRUE,
Kosmos,Media,Participation | Public Engagement | Interdepdence | Intercultural Dialogue | Civic Tech,"inform, inspire and engage individual and collective participation for global transformation in harmony with all Life",33916,500000,Global,https://www.kosmosjournal.org/about/mission/,https://www.sullivanperkins.com/wp-content/uploads/2016/02/client-experience-kosmos-energy-1.jpg,Direct Goal,,,TRUE,
New Economy Coalition,Business,Grassroots Change | Systems Thinking | Sharing Economy,creating deep change in our economy and politics—placing power in the hands of people and uprooting legacies of harm—so that a fundamentally new system can take root,19602.01,500000,Regional,https://neweconomy.net/about,https://neweconomy.net/sites/all/themes/neweconomy/logo.png,Direct Goal,,TRUE,,
Presencing Institute / MIT U.Lab,Research,Emergence,systematically address how to respond to the current waves of disruptive change from a deep place that connects us to the emerging future rather than by reacting against the patterns of the past,13780,500000,Global,https://www.presencing.org/#/aboutus/presencing-institute/what-we-do,http://doingsomethinggood.com.au/wp-content/uploads/2018/04/PI-logo-e1524754568388.jpg,Direct Goal,,TRUE,TRUE,
Safecity,Technology,Public Space | Women | Crowdsourcing | Data | Technology | Civic Tech,"make cities safer by encouraging equal access to public spaces for everyone especially women, through the use of crowdsourced data and technology",265922,500000,Global,http://safecity.in/about/,https://www.ffwd.org/wp-content/uploads/safecitylogo_final.jpg,Indirect Goal,TRUE,FALSE,,
Santa Fe Institute,Research,Patterns | Natural World,"understand and unify the underlying, shared patterns in complex physical, biological, social, cultural, technological, and even possible astrobiological worlds",60124,1000000,Global,https://www.santafe.edu/about,https://upload.wikimedia.org/wikipedia/en/thumb/5/51/Santa_Fe_Institute_seal.svg/1200px-Santa_Fe_Institute_seal.svg.png,Direct Goal,,,TRUE,
Shareable,Media,Sharing Economy | Interdependence,"empower people to share for a more resilient, equitable, and joyful world",124462,1000000,Global,https://www.shareable.net/about/mission-values,https://d1p42fqrbwqdsw.cloudfront.net/campaigns/background_images/000/000/801/web/Shareable_Thunderclap-1.png?1354842104,Direct Goal,TRUE,TRUE,TRUE,
The Blessing Basket Project,International Relief,Anti-Poverty | Developing World | Artisan Products,reduce poverty in developing countries by using our unique Prosperity Wages® model to pay for artisan products,10465,500000,Global,https://interculturalinnovation.org/blessing-basket-project/,https://blogunteer.files.wordpress.com/2012/08/bbp_logo.jpg,Direct Goal,TRUE,TRUE,,
DEMOCRACY COLLABORATIVE FOUNDATION INC,Research,Systems Thinking | Data,"put the central idea of system change, and that there can be a “next system,” on the map",30713,1000000,Regional,https://thenextsystem.org/about-next-system-project,https://democracycollaborative.org/sites/clone.community-wealth.org/files/thenextsystemproject_lowres_trans.png,Indirect Goal,,TRUE,TRUE,
Welcoming America,Community,Inclusion | Belonging | Democracy,making everyone feel like they belong,25277,1000000,Regional,https://www.welcomingamerica.org/about/who-we-are,https://cvlassets.s3.amazonaws.com/download-2.png,Direct Goal,TRUE,FALSE,,
Be More,Business,Anti-Bias | Workplace Bias,help organizations unleash human capital by eradicating bias by 2040,2774,50000,Regional,http://www.bemoreamerica.org/,https://media.licdn.com/dms/image/C560BAQH1oLwJKds1MQ/company-logo_200_200/0?e=2130710400&v=beta&t=WFJcuujnsgw4oVmgLDlsXIurP7yWeCFCudw3r4zh70U,Direct Goal,TRUE,,,
Over Zero,Community,Anti-Violence | Women,supports societies to resist violence and division & to build a positive future,0,50000,Global,https://projectoverzero.org/about,,Direct Goal,TRUE,TRUE,TRUE,
SkillShare,Conflict resolution,Soft skills | Technology | Sharing Economy,"Soft skills, including conf",5300756,500000,Global,http://skillshare.com,https://static.skillshare.com/assets/images/logo-1200-630.jpg,Indirect Goal,,TRUE,,
DataKind,Anti-Hate,Science | Anti-Extremist,Uses research science to combat extremism,39673,50000,Global,http://www.datakind.org/,https://yt3.ggpht.com/a-/ACSszfGF6vy4-ELAqDeYROjb-W1rfXppG2DhBIiqSw=s900-mo-c-c0xffffffff-rj-k-no,Indirect Goal,,TRUE,TRUE,
Center on Technology and society,Anti-Hate,Technology | Civic Technology,"ADL spin-off, focusing on digital channels",354,500000,Global,http://www.cits.ucsb.edu/home,https://www.adl.org/sites/default/files/styles/full_width_img_sm/public/2017-11/cts-landing-page-2000w.jpg?h=077a90f5&itok=IyZYWoS_,Indirect Goal,,TRUE,,
TechEquity Collaborative,Interdependence,Civic Technology | Global Opportunity | Technology,"Bay Area non-profit, focused on creating global opportunity",3887,50000,Global,https://techequitycollaborative.org/,https://techequitycollaborative.org/wp-content/uploads/2017/02/TechEquity-logo-long-reverse.png,Indirect Goal,TRUE,TRUE,,
National institute for civil discourse,Polarization,Civil Discourse | Anti-Propaganda | Democracy | Information | News | Media,"Combat fearmongering through elder statesman, UA alumni network",52160,500000,Global,https://nicd.arizona.edu/,http://deliberative-democracy.net/wp-content/uploads/2017/04/NICD.png,Indirect Goal,TRUE,TRUE,,
New Media Ventures,Polarization,News | Nonprofit News,Independent new media company,35276,500000,Global,https://newmediaventures.org/,https://pbs.twimg.com/profile_images/1014310342665441282/ROBbTcQd_400x400.jpg,Indirect Goal,TRUE,TRUE,,
The Discourse,Polarization,Inclusion | News | Media,Takes a disruptive approach to media to bring inclusive messages to a rapidly changing landscape,13318,500000,Global,https://thediscourse.ca/,https://www.thediscourse.ca/wp-content/uploads/misc/theDiscourse-Logo.png,Indirect Goal,TRUE,,,
American Immigration Council,Polarization,Immigrant Justice | Immigration | Anti-Xenophobia | Media,Promotes justice for immigrants while combatting divisive media narratives,194272,500000,Global,https://www.americanimmigrationcouncil.org/,https://www.doar.com/wp-content/uploads/2018/05/AIC-logo.png,Indirect Goal,TRUE,TRUE,,
Center for Media Engagement University of Texas Austin,Polarization,Civil Discourse | Digital Literacy | Social Media,"Measure superior online discourse, understand metri types",4282,50000,Global,https://mediaengagement.org/,https://mediaengagement.org/wp-content/themes/cme/dist/images/cme-logo.png,Indirect Goal,TRUE,,TRUE,
HopeLab,Research,Medicine | Healthcare | Anti-Suffering | Youth,Medically-oriented interventions to counter-act suffering,12687,500000,Global,https://www.hopelab.org/,https://lever-client-logos.s3.amazonaws.com/87887de8-267d-4176-ad28-5152b3c46e1e-1504631789493.png,indirect Goal,,,TRUE,
Humanity United,Community,Anti-Violence,Stop systemic violence impacting humans,43632,500000,Global,https://humanityunited.org/,https://www.cdacollaborative.org/wp-content/uploads/2015/11/Humanity-United-Logo.png,Indirect Goal,TRUE,TRUE,,
UnityWorks,Intercultural,Intercultural,"Promote shared fortunes, destiny of human race",2328,50000,Global,http://unityworks.us/,http://unityworks.us/img/logo-default-slim.png,,,,,
AMAZE,Education,Intercultural,"AMAZE programs foster the knowledge, values, and skills that the next generation needs in order to support and respect each other across differences of race, class, culture, gender, sexual orientation, age, religion/faith, and physical ability. ",1984,5000,Global,http://www.amazeworks.org/index.html,https://d3n8a8pro7vhmx.cloudfront.net/amaze/sites/1/meta_images/original/amaze_logo_and_motto.jpg?1494358151,,,,,
Anti Racist Alliance,Education,Anti-Racist,an organizing collective of human service practitioners and educators whose vision is to bring a clear and deliberate anti-racist structural power analysis to social service education and practice.,30459,50000,Global,http://www.antiracistalliance.com/home.html,http://www.antiracistalliance.com/images/logo_final.gif,,,,,
Border Crossers: Racial Justice in Education,Education,Anti-Racist,Border Crossers utilizes creative tools to encourage educators in explorations of race and racism with K-12 students.,6959,5000,Regional,http://www.bordercrossers.org/what-we-do/,http://www.bordercrossers.org/wp-content/uploads/2016/11/logo-lg3.png,,,,,
